"Activity" "Variable" "Subset" "Subject" "Average"
"LAYING" "fBodyAcc-mean-X" "Test" "1" -0.370994923682927
"LAYING" "fBodyAcc-mean-X" "Test" "2" -0.24435271182381
"LAYING" "fBodyAcc-mean-X" "Test" "3" 0.0102578090151282
"LAYING" "fBodyAcc-mean-X" "Test" "4" -0.990015951122449
"LAYING" "fBodyAcc-mean-X" "Test" "5" -0.985235496511628
"LAYING" "fBodyAcc-mean-X" "Test" "6" -0.965472771376147
"LAYING" "fBodyAcc-mean-X" "Train" "1" -0.303343916344978
"LAYING" "fBodyAcc-mean-X" "Train" "2" -0.231156266068981
"LAYING" "fBodyAcc-mean-X" "Train" "3" 0.1069964266814
"LAYING" "fBodyAcc-mean-X" "Train" "4" -0.986602979867841
"LAYING" "fBodyAcc-mean-X" "Train" "5" -0.986579741376518
"LAYING" "fBodyAcc-mean-X" "Train" "6" -0.976043172847222
"LAYING" "fBodyAcc-mean-Y" "Test" "1" 0.0289648281585366
"LAYING" "fBodyAcc-mean-Y" "Test" "2" -0.155592285299286
"LAYING" "fBodyAcc-mean-Y" "Test" "3" 0.111474761684615
"LAYING" "fBodyAcc-mean-Y" "Test" "4" -0.961051839897959
"LAYING" "fBodyAcc-mean-Y" "Test" "5" -0.944141902906977
"LAYING" "fBodyAcc-mean-Y" "Test" "6" -0.975227217981651
"LAYING" "fBodyAcc-mean-Y" "Train" "1" -0.127326254302183
"LAYING" "fBodyAcc-mean-Y" "Train" "2" -0.238039886877778
"LAYING" "fBodyAcc-mean-Y" "Train" "3" 0.017282750281
"LAYING" "fBodyAcc-mean-Y" "Train" "4" -0.958880568898678
"LAYING" "fBodyAcc-mean-Y" "Train" "5" -0.93042972854251
"LAYING" "fBodyAcc-mean-Y" "Train" "6" -0.972099750590278
"LAYING" "fBodyAcc-mean-Z" "Test" "1" -0.356529477682927
"LAYING" "fBodyAcc-mean-Z" "Test" "2" -0.325294584166667
"LAYING" "fBodyAcc-mean-Z" "Test" "3" -0.201210223824359
"LAYING" "fBodyAcc-mean-Z" "Test" "4" -0.960749538469388
"LAYING" "fBodyAcc-mean-Z" "Test" "5" -0.951865305
"LAYING" "fBodyAcc-mean-Z" "Test" "6" -0.976504242201835
